key_home,key_away,key_date,key_competition,key_referee,key_stadium,home_goals,away_goals,attendance
41,38,121,4,39,24,1,1,33400
37,35,121,4,36,,1,1,28200
33,30,122,4,34,18,1,0,41000
29,36,122,4,30,15,2,2,17000
34,32,122,4,38,19,0,1,41600
40,35,123,4,33,23,1,2,25500
34,30,123,4,37,19,2,1,35400
25,44,123,4,31,,1,0,47300
39,38,123,4,25,,2,0,27400
31,28,123,4,26,16,3,0,36200
26,43,123,4,34,12,1,0,35600
41,32,123,4,30,24,2,0,33500
37,36,123,4,38,,0,3,24300
33,27,48,4,36,18,3,3,41200
29,42,48,4,39,15,0,1,15300
44,37,124,4,41,27,1,2,14600
35,39,124,4,31,20,2,1,73400
43,40,124,4,32,26,3,0,23600
36,25,125,4,34,21,0,0,60100
32,33,125,4,27,17,1,0,26400
27,31,125,4,38,13,0,1,32600
42,41,125,4,26,25,5,0,42400
30,29,125,4,24,,1,1,18900
28,34,125,4,25,14,3,1,24500
38,26,125,4,30,22,2,1,34100
33,28,53,4,32,18,2,0,40800
25,32,53,4,36,,4,3,46700
39,30,53,4,35,,2,0,26800
40,44,53,4,28,23,3,2,25300
29,43,53,4,29,15,1,1,18800
41,36,53,4,25,24,0,3,32700
37,27,29,4,31,,1,1,22300
31,42,29,4,39,16,1,1,47900
34,38,29,4,24,19,2,2,44800
26,35,29,4,26,12,0,0,35800
32,34,55,4,32,17,0,3,28900
36,29,55,4,37,21,3,0,59600
44,31,55,4,36,27,1,2,16000
38,41,55,4,38,22,2,2,34200
43,39,55,4,28,26,2,0,23800
35,37,55,4,34,20,5,0,75300
42,26,55,4,27,25,1,1,51000
27,25,55,4,39,13,1,0,37300
28,40,56,4,31,14,2,0,24100
30,33,57,4,33,,0,4,22800
36,38,126,4,36,21,2,1,60000
31,33,126,4,27,16,2,4,37900
35,27,126,4,33,20,3,1,75300
40,29,126,4,24,23,2,2,25400
37,25,127,4,37,,2,2,24400
44,41,127,4,28,27,1,3,15100
30,32,127,4,38,,1,0,18900
28,26,127,4,25,14,0,1,23300
43,42,127,4,34,26,1,0,25600
34,39,127,4,29,19,2,0,40300
39,31,61,4,30,,3,2,26000
27,43,61,4,36,13,2,2,35900
38,44,61,4,37,22,5,3,38200
25,40,61,4,32,,3,0,46800
42,36,61,4,24,25,4,4,51600
26,30,61,4,31,12,2,1,36200
29,28,61,4,26,15,4,3,18600
32,35,61,4,35,17,2,1,28800
41,37,62,4,33,24,0,1,33000
33,34,62,4,25,18,0,1,41800
35,25,63,4,25,20,2,1,75300
36,32,63,4,33,21,2,0,60100
37,39,63,4,27,,1,0,23700
28,42,63,4,28,14,0,0,26800
44,27,63,4,39,27,1,1,16000
34,29,63,4,37,19,1,1,44600
40,41,63,4,36,23,3,3,23900
31,26,63,4,34,16,1,2,41000
30,38,64,4,30,,2,0,23000
43,33,65,4,26,26,0,0,25700
27,28,69,4,32,13,4,1,34300
38,31,69,4,28,22,2,0,37800
42,30,69,4,33,25,1,1,48100
29,35,69,4,31,15,0,4,18100
32,44,69,4,40,17,4,0,29100
41,34,70,4,27,24,3,1,34900
25,43,70,4,38,,1,1,43100
39,40,71,4,35,,1,1,25000
33,37,128,4,34,18,3,1,40800
26,36,128,4,32,12,3,3,36100
37,40,75,4,34,,1,3,27000
36,31,75,4,29,21,0,0,60100
30,27,75,4,37,,3,2,22500
43,28,75,4,31,26,3,2,25700
42,38,75,4,39,25,1,2,50100
41,39,75,4,25,24,3,0,33100
25,29,75,4,28,,1,0,44900
34,35,76,4,24,19,3,1,44800
32,26,76,4,27,17,3,3,28700
44,33,77,4,26,27,1,3,15600
26,41,81,4,26,12,0,0,36000
27,32,81,4,24,13,0,1,39000
28,44,81,4,39,14,2,2,27200
35,30,81,4,25,20,1,0,75500
39,42,81,4,36,,4,0,27500
40,36,81,4,28,23,2,2,25700
29,37,81,4,30,15,2,1,16400
38,43,81,4,35,22,2,1,33200
31,34,82,4,37,16,0,2,47200
33,25,82,4,33,18,2,0,41700
41,35,83,4,36,24,2,4,34500
37,30,83,4,35,,2,1,26100
38,27,83,4,34,22,2,2,37600
42,32,83,4,26,25,4,1,49900
39,33,83,4,38,,1,1,27500
40,34,83,4,32,23,2,1,26200
29,26,83,4,25,15,0,0,18600
36,28,83,4,24,21,0,0,60100
43,44,84,4,28,26,3,0,25700
25,31,84,4,39,,5,0,44200
32,38,86,4,24,17,0,3,28400
28,37,86,4,33,14,1,1,28400
30,41,86,4,30,,3,0,25900
33,29,86,4,39,18,1,0,40700
35,43,86,4,34,20,2,0,75300
31,40,86,4,38,16,2,3,41600
26,39,86,4,37,12,3,2,32700
44,36,87,4,36,27,1,3,16000
27,42,87,4,28,13,1,0,37100
34,25,88,4,27,19,3,0,44800
37,31,89,4,24,,2,0,28100
38,28,89,4,37,22,2,0,35900
40,33,89,4,30,23,1,3,25200
41,27,89,4,27,24,1,2,33000
44,29,89,4,38,27,1,3,16000
36,34,90,4,25,21,1,1,60000
42,35,129,4,30,25,0,0,49000
39,32,130,4,36,,3,0,27000
43,30,131,4,29,26,3,0,23200
25,26,100,4,26,,1,0,47000
35,38,92,4,38,20,1,0,75300
